Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
412,464,Asus,Vivobook Go 15 Oled 2023 E1504Fa-Lk541Ws Laptop,50760,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",16Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
413,465,Asus,Vivobook Go 14 2023 E1404Fa-Nk542Ws Laptop,49990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",16Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
414,466,Asus,Vivobook Go 14 2023 E1404Fa-Nk322Ws Laptop,33199,69.32352941,7Th Gen Amd Ryzen 3 7320U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
415,467,Asus,Vivobook Pro 15 M6500Qc-Hn742Ws Laptop,70990,72.0,5Th Gen Amd Ryzen 7 5800H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
416,468,Acer,Nitro 5 An515-47 Nh.Ql3Si.001 Gaming Laptop,64990,71.0,7Th Gen Amd Ryzen 5 7535Hs,"Hexa Core, 12 Threads",8Gb,Ddr5,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
417,469,Asus,Vivobook 16 2023 M1605Ya-Mb541Ws Laptop,59990,64.0,7Th Gen Amd Ryzen 5 7530U,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,16.0,1920,1200,Windows 11 Os,1
418,470,Asus,Zenbook 14 Oled 2023 Um3402Ya-Km741Ws Laptop,88990,70.0,7Th Gen Amd Ryzen 7 7730U,"Octa Core, 16 Threads",16Gb,Lpddr4X,512Gb,Ssd,Amd Radeon Amd,14.0,2880,1800,Windows 11 Os,1
419,471,Asus,Vivobook Go 15 2023 E1504Fa-Nj522Ws Laptop,44990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
420,472,Hp,Pavilion Aero 13-Be2047Au Laptop,77990,69.0,7Th Gen Amd Ryzen 7 7735U,"Octa Core, 16 Threads",16Gb,Lpddr5,1Tb,Ssd,Amd Radeon Amd,13.3,1920,1200,Windows 11 Os,1
421,474,Asus,Vivobook 16 2023 M1605Ya-Mb741Ws Laptop,70990,65.0,7Th Gen Amd Ryzen 7 7730U,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,16.0,1920,1200,Windows 11 Os,1
422,477,Lenovo,Ideapad  82K2022Tin Gaming Laptop,55990,70.0,5Th Gen Amd Ryzen 5 5600H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,15.6,1920,1080,Windows 11 Os,1
423,478,Tecno,Megabook T1 Laptop,43999,66.0,11Th Gen Intel Core I5 1155G7,"Quad Core, 8 Threads",16Gb,Lpddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
424,479,Acer,Aspire 3 A315-24P Nx.Kdesi.004 Laptop,37990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Graphiics,15.6,1920,1080,Windows 11 Os,1
